captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:29:30.734824+00:00,b6938afce5ccb79afd0fad48bb270cc1,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:30.734839+00:00,ff04047f09d37dbed01dfd15d512a891,1.0,Club Libertad Asuncion - Rubio Nu,Futebol,Paraguay. Primera Division,[]
2026-02-20T22:29:30.734846+00:00,0059a7caf7ea5568a2b636cc6c3e31b6,0.998,"Stepanov, Timofey - Aney, Alexander",Tenis,World. UTR Pro Series. Singles,[]
2026-02-20T22:29:30.734851+00:00,0ca0d4c13aca4e4b9369747817c19cf4,0.998,US Yacoub Mansour - Maghreb AS de Fes,Futebol,Morocco. Botola,[]
2026-02-20T22:29:30.734855+00:00,13e9dd22efddd2462e91a79ab4ddfd4f,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:30.734858+00:00,78cf7a7dddabea47950a9479d5f539bb,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:30.734865+00:00,e1376f80bd36aad295d9156cd591777e,0.998,Largadosypelados - Red Canids Kalunga,Sport 47,Counter-Strike 2. ESL Challenger,[]
2026-02-20T22:29:30.734871+00:00,b654671ec9dac53b35ff1fbcfc46f9b9,0.998,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:29:30.734875+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:30.734881+00:00,575ca227bee64f8641772b90eb2fcf45,0.998,Houston Rockets (H1lex13) - Milwaukee Bucks (Morzh),Sport 41,World. E-Basketball,[]
2026-02-20T22:29:30.734885+00:00,0587328fd58ab4b64591553ca8712d7a,0.998,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:30.734890+00:00,acd6a5646d878dbb58ab6cfeb5819660,0.996,"Hanacek, Josef - Stehlik, Martin",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:29:30.734894+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:30.734897+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:30.734902+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:30.734906+00:00,b1855513d415ff886b1d027766eba23b,0.99,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:30.734911+00:00,83c10a0552dae36f54220d60d0a7b2b4,0.988,"Benes, Radek  - Stusek, David",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:29:30.734917+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:30.734921+00:00,33ab8574e4e40e7eafbdb7ab5754f186,0.985,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:30.734926+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:33.014774+00:00,32c9a5d533cb427e047cf9df1461edb5,1.0,Houston Rockets (H1lex13) - Milwaukee Bucks (Morzh),Sport 41,World. E-Basketball,[]
2026-02-20T22:29:33.014789+00:00,b6938afce5ccb79afd0fad48bb270cc1,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:33.014795+00:00,ff04047f09d37dbed01dfd15d512a891,1.0,Club Libertad Asuncion - Rubio Nu,Futebol,Paraguay. Primera Division,[]
2026-02-20T22:29:33.014800+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:33.014803+00:00,b654671ec9dac53b35ff1fbcfc46f9b9,0.998,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:29:33.014807+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:33.014811+00:00,0587328fd58ab4b64591553ca8712d7a,0.998,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:33.014818+00:00,80b4b07a343de006b10efb632266ac75,0.998,"Staniczek, Adam - Wolny, Michal",Sport 13,World. TT Elite Series. Singles,[]
2026-02-20T22:29:33.014823+00:00,0059a7caf7ea5568a2b636cc6c3e31b6,0.998,"Stepanov, Timofey - Aney, Alexander",Tenis,World. UTR Pro Series. Singles,[]
2026-02-20T22:29:33.014826+00:00,0ca0d4c13aca4e4b9369747817c19cf4,0.998,US Yacoub Mansour - Maghreb AS de Fes,Futebol,Morocco. Botola,[]
2026-02-20T22:29:33.014830+00:00,13e9dd22efddd2462e91a79ab4ddfd4f,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:33.014834+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:33.014837+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:33.014841+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:33.014845+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:33.014849+00:00,b1855513d415ff886b1d027766eba23b,0.99,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:33.014852+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:33.014857+00:00,99e12e3887119d87d5faff7db6f54c1d,0.988,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:33.014863+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:33.014867+00:00,ba38db3dba2a9cf7b8c053a210bd4657,0.981,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:29:35.271671+00:00,ff04047f09d37dbed01dfd15d512a891,1.0,Club Libertad Asuncion - Rubio Nu,Futebol,Paraguay. Primera Division,[]
2026-02-20T22:29:35.271692+00:00,f1a79ee1cd88794ef84dffafa2ada614,1.0,"Molin, Tomas - Theodor, Filip",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:29:35.271700+00:00,b6938afce5ccb79afd0fad48bb270cc1,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:35.271705+00:00,0059a7caf7ea5568a2b636cc6c3e31b6,0.998,"Stepanov, Timofey - Aney, Alexander",Tenis,World. UTR Pro Series. Singles,[]
2026-02-20T22:29:35.271710+00:00,248ff20cafb0c4dc1e1d81dd73b55646,0.998,"Borodich, Andrey - Zademleniuk, Nikolay",Sport 13,russia. Master. Singles,[]
2026-02-20T22:29:35.271714+00:00,0ca0d4c13aca4e4b9369747817c19cf4,0.998,US Yacoub Mansour - Maghreb AS de Fes,Futebol,Morocco. Botola,[]
2026-02-20T22:29:35.271717+00:00,fb9752661ef113245aa0216cdbb514e1,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:35.271721+00:00,a6f4b17e3e0a409bc3e2eb07eb607780,0.998,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:35.271725+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271729+00:00,b654671ec9dac53b35ff1fbcfc46f9b9,0.998,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:29:35.271732+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271736+00:00,0587328fd58ab4b64591553ca8712d7a,0.998,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:35.271740+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271744+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:35.271747+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:35.271751+00:00,b1855513d415ff886b1d027766eba23b,0.99,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271755+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:35.271759+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:35.271764+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
