captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:36:30.983313+00:00,cd752d856f0a58e58530730a283f9718,1.0,TEC MTY Hidalgo Women - TEC MTY Aguascalientes Women,Basquete,Mexico. Liga ABE Women,[]
2026-02-20T22:36:30.983347+00:00,3d93bd10bd36a033575ae103d50cfb3c,1.0,UAAARoso - Valongo,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:30.983386+00:00,0a76bbce4f6e59a4c0fcb2d12ccb69de,0.998,"Volhejn, Dan - Klimenta, Matous",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:30.983398+00:00,f81835d8914d51e3e39fbee5c497dfeb,0.998,Georgia State Panthers - Bellarmine,Beisebol,USA. NCAA,[]
2026-02-20T22:36:30.983409+00:00,37993756c3ff4fa17c7ef2b0de6a1ac3,0.998,"Wiza, Roman - Adach, Rafal",Sport 13,World. TT Elite Series. Singles,[]
2026-02-20T22:36:30.983418+00:00,25de9b31d1fde98e1878d042ebf63d30,0.998,East Carolina Pirates - North Carolina Tar Heels,Beisebol,USA. NCAA,[]
2026-02-20T22:36:30.983428+00:00,5b81d585195642498331bca0562f3fa1,0.998,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:30.983442+00:00,4270d54f1dc676ba539def74ed0c69d8,0.998,Uniao Corinthians - Basquete Osasco,Basquete,Brazil. NBB,[]
2026-02-20T22:36:30.983451+00:00,e2f60198d6797f0152d06f626bea5da5,0.998,"Korda, Sebastian - Ruud, Casper",Tenis,World. ATP. Delray Beach. Singles,[]
2026-02-20T22:36:30.983460+00:00,14363bb8ccb15b55558112e715bfac86,0.998,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:36:30.983471+00:00,e28188f3f2b7ff80b7bc8592b8d92571,0.996,Estudiantes La Plata - CA Sarmiento,Futebol,Argentina. Primera Division,[]
2026-02-20T22:36:30.983481+00:00,18e4ea6b0f5abcdd43d6aa982aa71f3f,0.996,Sesi Bauru Women - Regatas Lima Women,Volei,South America. Club Championship Women,[]
2026-02-20T22:36:30.983491+00:00,5199ae36261c73068ae50b4ff52b378f,0.993,"Urbaniec, Radim - Pacha, Robin",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:30.983497+00:00,e0d2362c7415c246552f149d72b6e220,0.993,Southern Mississippi Golden Eagles - Purdue Boilermakers,Beisebol,USA. NCAA,[]
2026-02-20T22:36:30.983502+00:00,94b4e3169184823823cf4a38c6ede82f,0.993,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:36:30.983509+00:00,2a02cb5e51063d58ee3000d42bae4b96,0.99,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:36:30.983514+00:00,e9db88d0c4a1dac761179b4105de2ef9,0.99,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:36:30.983524+00:00,35d725b8ad320077de1f1d106f340703,0.99,Imperial - Sharks.cn ,Sport 47,Counter-Strike 2. ESL Challenger,[]
2026-02-20T22:36:30.983530+00:00,6cb4c75b0a8f1577faafbe88f79ec301,0.986,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:36:30.983538+00:00,f3c1db6030c730cce5b08dba6b21ca45,0.979,"Kosacky, Adam - Bochnak, David",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:36:33.472559+00:00,567ab347e01ddd18024f42c772c356ad,1.0,Germany (Kavviro) - England (Tikitakamaster),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:33.472574+00:00,5fcaf12a6d963216ed65e5be0aa2f06f,1.0,"Wozniczka, Marcin - Murawski, Michal",Sport 13,World. TT Elite Series. Singles,[]
2026-02-20T22:36:33.472580+00:00,3d93bd10bd36a033575ae103d50cfb3c,1.0,UAAARoso - Valongo,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:33.472584+00:00,cd752d856f0a58e58530730a283f9718,1.0,TEC MTY Hidalgo Women - TEC MTY Aguascalientes Women,Basquete,Mexico. Liga ABE Women,[]
2026-02-20T22:36:33.472589+00:00,95b9002890bda6b093471de82ae56cbe,0.998,"Hrynenko, Kostiantyn  - Khamurda, Vitaliy",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:36:33.472594+00:00,e2f60198d6797f0152d06f626bea5da5,0.998,"Korda, Sebastian - Ruud, Casper",Tenis,World. ATP. Delray Beach. Singles,[]
2026-02-20T22:36:33.472600+00:00,37a0ec07c87182da06e00dce9dbbf64f,0.998,"Skacelik, Richard - Cernin, Tomas",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:33.472613+00:00,8eebb75c8e826194baf56f4dce712a35,0.998,"Volhejn, Dan - Klimenta, Matous",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:33.472617+00:00,f81835d8914d51e3e39fbee5c497dfeb,0.998,Georgia State Panthers - Bellarmine,Beisebol,USA. NCAA,[]
